[[ 0.  0.  0.]
 [ 0.  2.  0.]]
         157320 function calls (155583 primitive calls) in 5.653 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 compat.py:38(<module>)
      107    0.000    0.000    0.000    0.000 pkg_resources.py:1418(_fn)
       42    0.000    0.000    0.000    0.000 {numpy.core.multiarray.array}
       17    0.000    0.000    0.000    0.000 posixpath.py:387(_joinrealpath)
      389    0.000    0.000    0.000    0.000 collections.py:329(<genexpr>)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3(<module>)
        1    0.000    0.000    0.000    0.000 polyutils.py:33(<module>)
       86    0.000    0.000    0.000    0.000 genericpath.py:15(exists)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
        2    0.000    0.000    0.000    0.000 {imp.load_dynamic}
       31    0.000    0.000    0.000    0.000 _inspect.py:61(getargs)
        2    0.000    0.000    0.033    0.016 __init__.py:149(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:435(_unmap)
      872    0.000    0.000    0.000    0.000 {ord}
      232    0.000    0.000    0.000    0.000 {thread.get_ident}
      110    0.000    0.000    0.000    0.000 glu_info.py:84(set_active_context)
      232    0.000    0.000    0.000    0.000 threading.py:63(_note)
      114    0.000    0.000    0.000    0.000 sre_compile.py:472(isstring)
        1    0.000    0.000    0.042    0.042 __init__.py:8(<module>)
      100    0.000    0.000    0.000    0.000 xlib.py:236(_wait_vsync)
        2    0.000    0.000    0.000    0.000 xlib.py:114(get_screens)
       18    0.000    0.000    0.000    0.000 {open}
      367    0.000    0.000    0.000    0.000 {range}
       19    0.000    0.000    0.000    0.000 nosetester.py:140(__init__)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
        1    0.000    0.000    0.000    0.000 dis.py:1(<module>)
      600    0.000    0.000    0.000    0.000 stat.py:24(S_IFMT)
        6    0.000    0.000    0.000    0.000 zipfile.py:872(namelist)
        1    0.000    0.000    0.000    0.000 glx_info.py:52(<module>)
      117    0.000    0.000    0.001    0.000 re.py:134(match)
      270    0.000    0.000    0.000    0.000 {numpy.lib._compiled_base.add_docstring}
      786    0.000    0.000    0.000    0.000 {_ctypes.byref}
       95    0.000    0.000    0.001    0.000 pkg_resources.py:1354(has_metadata)
      233    0.000    0.000    0.004    0.000 pkg_resources.py:2760(<lambda>)
